mint,name,symbol,price_usd,price_native,fdv,market_cap,liquidity_usd,liquidity_base,liquidity_quote,volume_5m,volume_1h,volume_6h,volume_24h,txns_5m_buys,txns_5m_sells,txns_1h_buys,txns_1h_sells,txns_6h_buys,txns_6h_sells,txns_24h_buys,txns_24h_sells,price_change_5m,price_change_1h,price_change_6h,price_change_24h,dex_id,pair_address,pair_created_at,pair_age_hours,has_website,has_twitter,has_telegram,has_discord,social_count,mint_authority_exists,freeze_authority_exists,supply,decimals,buy_sell_ratio_1h,buy_sell_ratio_24h,liquidity_to_mcap_ratio,volume_to_liquidity_ratio,txns_total_24h,parsed_at
4Bskt3gjpvZetH1xKpH67qMDbypSFc58rt7NLRADYqWL,Pepe,PEPE,0.001007,0.001007,9071790827,9071790827.0,9070790851.27,8999007917998,20.3525,0,0,12.34,16.34,0,0,0,0,2,1,3,2,0,0,0,-0.02,meteora,DRgMpoEqXJyBRKqrKXjMPSXQWYUYmdocsh29U7tTQC4j,1751822211000,6425.7,0,0,0,0,0,-1,-1,0,0,0.0,1.5,0.99989,0.0,5,2026-03-31T11:00:15.792909+00:00
Egtoetiw3pKRNSzwgXZRWgMCbUSZmb2qPVwP2w8BoAzw,Jupiter,JUP,0.8006,0.8006,8006022814,8006022814.0,8004938595.14,9998624713,11.5374,0,0,3.99,7.99,0,0,0,0,1,1,2,2,0,0,0,0,raydium,CAfkBm4ZW8SB9vbvX8GNNZRo6obF4FEz7Vd3xKiQiE5k,1737357509000,10443.7,0,0,0,0,0,-1,-1,0,0,0.0,1.0,0.999865,0.0,4,2026-03-31T11:00:15.795907+00:00
8aeNKhYrqaabvki2cjXaRzFX71yDpJr4CDmVpn2Y6sAC,WhiteRock,WHITE,0.07403,0.07403,7403333702,7403333702.0,7402333629.05,99986491561,2.2344,0,0,0,3.99,0,0,0,0,0,0,1,1,0,0,0,-0.02,meteora,C2JJWhJPa1K8eFz6iPaN8BNv9MC1EA3PiG27k1JKUxoq,1745302399000,8236.8,0,0,0,0,0,-1,-1,0,0,0.0,1.0,0.999865,0.0,2,2026-03-31T11:00:15.819406+00:00
EyNbAt2aavE1SbEpmKCLxniHGKez9KqF93zwvAojFKa6,Pump.fun,PUMP,0.006877,0.006877,6877147673,6877147673.0,6876137817.16,999853154937,19.1614,0,0,0,3.99,0,0,0,0,0,0,1,1,0,0,0,-0.04,orca,41jj12f5ojTm9WPPTRWUixMWVg1Y95TV7j32wXJCpYQK,1759401456000,4320.4,0,0,0,0,0,-1,-1,0,0,0.0,1.0,0.999853,0.0,2,2026-03-31T11:00:15.791907+00:00
6eieBVW6uVHsRWCXyAHbAiB2T47tcKm4CaPwRNDp3JAv,WhiteRock,WHITE,0.005534,0.005534,5534576841,5534576841.0,5533577077.04,999819360110,1.8689,0,0,0,3.99,0,0,0,0,0,0,1,1,0,0,0,0,raydium,9nG9WUKgDzrwBZoywGsXhPb32sNja8qPfABz36r9EX7h,1747976280000,7494.0,0,0,0,0,0,-1,-1,0,0,0.0,1.0,0.999819,0.0,2,2026-03-31T11:00:15.819406+00:00
8SGoL9a1ac9fHXpyC1tByumJiuAnrKiLDJwQ8RMBoedz,Fasttoken,FTN,4.57,4.5712,4571213074,4571213074.0,4570213077.54,999781237,14.6951,0,0,0,3.99,0,0,0,0,0,0,1,1,0,0,0,-0.02,meteora,268yerPUYCe3HdASy79E7zmfc66NynsMxM3ndCgZkPEX,1755421100000,5426.0,0,0,0,0,0,-1,-1,0,0,0.0,1.0,0.999781,0.0,2,2026-03-31T11:00:15.818408+00:00
DJAauapioisQAumQMdgcZWAPdkYbkA562u3xXB9d8FuR,Purple Pepe,PURPE,0.009846,0.009846,4142200838,4142200838.0,4141199464.26,420588298217,2.9135,0,0,0,3.99,0,0,0,0,0,0,1,1,0,0,0,0,raydium,3frrutkhp2vxHxC771xrkUEVC15xzZehXd5RxEQ8ZuYP,1746849296000,7807.1,0,0,0,0,0,-1,-1,0,0,0.0,1.0,0.999758,0.0,2,2026-03-31T11:00:15.820405+00:00
3pVdPjEemBKNTXMMEHv2rV7d9YBkPhhQoBr4As3BLh6Q,Jupiter,JUP,0.4681,0.4681,3277063835,3277063835.0,3276054046.37,6997842991,19.1287,0,0,0,3.99,0,0,0,0,0,0,1,1,0,0,0,-0.04,orca,EN3eMbfLmiPWGeqU3qGZ3AniNrtQ9F46Quwss6iQDDwN,1759416422000,4316.2,0,0,0,0,0,-1,-1,0,0,0.0,1.0,0.999692,0.0,2,2026-03-31T11:00:15.795907+00:00
4nLgaeKKLicrAZYaQx6qScT5gYpWEUARxoh4enmECwvw,ChainOpera AI,COAI,2.76,2.7647,2764738697,2764738697.0,2763729088.29,999634823,8.3603,0,0,3.99,3.99,0,0,0,0,1,1,1,1,0,0,-0.04,-0.04,orca,684Kv8qpwq5GzYBCvTtX32evPenPqyzS5BzZh63qK3pf,1759800845000,4209.4,0,0,0,0,0,-1,-1,0,0,0.0,1.0,0.999635,0.0,2,2026-03-31T11:00:15.811906+00:00
AeBZqyhPXDnL35AAQYorhN2SeZ5PdNCB7boq2a1vCJwv,Loaded Lions,LION,0.02082,0.02082,2082683494,2082683494.0,2081683463.87,99951982584,20.7651,0,0,0,3.99,0,0,0,0,0,0,1,1,0,0,0,-0.02,meteora,7wfSVvStLXKShxbvSCW5vXz1c89PLz3mv35CxSqR2fnE,1755170018000,5495.8,0,0,0,0,0,-1,-1,0,0,0.0,1.0,0.99952,0.0,2,2026-03-31T11:00:15.801908+00:00
