mint,name,symbol,price_usd,price_native,fdv,market_cap,liquidity_usd,liquidity_base,liquidity_quote,volume_5m,volume_1h,volume_6h,volume_24h,txns_5m_buys,txns_5m_sells,txns_1h_buys,txns_1h_sells,txns_6h_buys,txns_6h_sells,txns_24h_buys,txns_24h_sells,price_change_5m,price_change_1h,price_change_6h,price_change_24h,dex_id,pair_address,pair_created_at,pair_age_hours,has_website,has_twitter,has_telegram,has_discord,social_count,mint_authority_exists,freeze_authority_exists,supply,decimals,buy_sell_ratio_1h,buy_sell_ratio_24h,liquidity_to_mcap_ratio,volume_to_liquidity_ratio,txns_total_24h,parsed_at,is_rug,rug_signal
EHRSzdFBvgW87rccDjuM3TT5yDk6Zqo5GHqsptm6bonk,Pump It Up,PUMP,0.000004001,0.000004001,4001.81,4001.81,0.0,0,0,0,0,0,11302.7,0,0,0,0,0,0,107,94,0,0,0,-4.1,launchlab,AgfQJ4NXyVBDVKWCe2UFc8xTFq1Sevs3fod9k64tQu5B,1774885584000,19.6,0,0,0,0,0,0,0,999999510303068,6,0.0,1.138,0.0,0,201,2026-03-31T11:22:30.211248+00:00,1,zero_liquidity
8TpddwgcEJtnRhL1HFDHdTV5K7PRPCLRMm15N7JnMVxX,1Pump,1Pump,0.000002362,0.00000002848,2362.18,2362.18,0.0,0,0,0,0,0,4437.43,0,0,0,0,0,0,60,68,0,0,0,-0.16,pumpfun,3HYDDYY4LNhi8u2jATYWhbVXpg9UjMc48qPVyj3okHJz,1774909523000,13.0,0,0,0,0,0,0,0,999999999998000,6,0.0,0.882,0.0,0,128,2026-03-31T11:22:30.211248+00:00,1,zero_liquidity
354nm1X3AQWJx9DCCeRzKcenwgm1VJhf9ginUjP1pump,KAIROS,KAIROS,0.00001230,0.0000001523,12307.74,12307.74,0.0,0,0,19375.21,19375.21,19375.21,19375.21,334,160,334,160,334,160,334,160,366,366,366,366,pumpfun,BntKT7Fv99uaofHA7nqBgAszn3TDCLtjyCNVWPM2xtnZ,1774955660000,0.1,0,0,0,0,0,0,0,1000000000000000,6,2.087,2.087,0.0,0,494,2026-03-31T11:22:30.211248+00:00,1,zero_liquidity|pump_fun_dead
YJwHrRwTZpLRDEqdEYBvk4YneC45zEjCexqsMF1pump,Qubit the dog,Qubit,0.000006690,0.00000008288,6690.32,6690.32,0.0,0,0,2546.67,63476.65,63476.65,63476.65,40,17,754,549,754,549,754,549,60.47,146,146,146,pumpfun,6eabGpb991DZpvHxvg28RAaT3VridDyLLrjtoohVEAiK,1774953786000,0.7,0,0,0,0,0,0,0,999999999999998,6,1.373,1.373,0.0,0,1303,2026-03-31T11:22:30.211248+00:00,1,zero_liquidity|pump_fun_dead
5DprnRpKS1qrrbkNuQh6XirvQKJkkYKo1vuosk91pump,BANEMEME,BNM,0.000004013,0.00000004976,4013.86,4013.86,0.0,0,0,9.47,10.97,84.59,145.03,1,0,1,2,5,3,11,8,0.86,-0.95,0.68,2.92,pumpfun,9cbGmkEiMixns9LwhB6pEtgmcfuLbTJotPLHp9i7moxi,1774189712000,212.9,0,0,0,0,0,0,0,1000000000000000,6,0.5,1.375,0.0,0,19,2026-03-31T11:22:30.211248+00:00,1,zero_liquidity|pump_fun_dead
9RtVfHLkp1vtykVC6LEKpxEheZVhKqH2spvbcG1pump,Tidecoin,TDC,0.000009106,0.0000001132,9106.05,9106.05,0.0,0,0,46.96,4388.6,40603.25,56532.23,0,1,47,26,536,402,805,534,-1.81,20.42,-40,265,pumpfun,Aau2cBLXCMxiTGh9XuX3tGftVVHZZmtSDzzh4tpSRmUh,1733894614000,11406.0,0,0,0,0,0,0,0,999999999997216,6,1.808,1.507,0.0,0,1339,2026-03-31T11:22:30.211248+00:00,1,zero_liquidity|pump_fun_dead
7jdHsyTewM85bhY12oA23abanLXk4zye9Zyfa7q1pump,イーロン・マスク,ELON MUSK,0.000005131,0.00000006354,5131.63,5131.63,0.0,0,0,0,32.71,334.35,19924.81,0,0,0,1,3,6,242,160,0,-3.47,-15.2,41.3,pumpfun,4gy5HHYDrS9JJEDUgXY6A8qTrq6f3edbX6FELJRQzQyR,0,0,0,0,0,0,0,0,0,999999999999999,6,0.0,1.512,0.0,0,402,2026-03-31T11:22:30.211248+00:00,1,zero_liquidity|pump_fun_dead
FMdjmkEQ3bKc9mznWC17fNgSG72ffY2DMYiVhco1pump,Xmoney,Xmoney,0.00001236,0.0000001530,12364.02,12364.02,0.0,0,0,0,0,85.69,347.21,0,0,0,0,2,0,4,1,0,0,-0.71,-1.67,pumpfun,6SU8sd51dpEfhs3pjjfkoQLgs2gaaF2iBK8cEudNBrSh,0,0,0,0,0,0,0,0,0,999754518438114,6,0.0,4.0,0.0,0,5,2026-03-31T11:22:30.211248+00:00,1,zero_liquidity|pump_fun_dead
H8cg442UqnkAD5D4TpoBDYPmzChWnxw7hjwakGf1pump,RLUSD,XRP,0.000007599,0.00000009238,7599.29,7599.29,0.0,0,0,0,0,0,91.13,0,0,0,0,0,0,9,3,0,0,0,-3.21,pumpfun,4PLFSouJS2jUobEb56wxqEvJhaRX3Yazob4CuV7VHfWb,1772805348000,597.4,0,0,0,0,0,0,0,980432323858477,6,0.0,3.0,0.0,0,12,2026-03-31T11:22:30.211248+00:00,1,zero_liquidity|pump_fun_dead
DM8uS9A4vjzsZa5VTVbn5UB6PkD6GY1rqRk3p81pump,Anime Ethereum,AETH,0.000003120,0.00000003874,3120.27,3120.27,0.0,0,0,0,98.01,336.38,12062.19,0,0,0,1,3,4,106,104,0,-9.2,-9.47,-53.14,pumpfun,BGbPn3BuNs4rkmEsTYLiJq4nKMHZfkVxhW4oG1cwQCcx,0,0,0,0,0,0,0,0,0,999999987182772,6,0.0,1.019,0.0,0,210,2026-03-31T11:22:30.211248+00:00,1,zero_liquidity|pump_fun_dead
24uk9qiqWnKxp4W9ip2LyVBsDJJAe9TmaxWG7CH1pump,Ninja Memes,NINJA,0.000002271,0.00000002817,2271.2,2271.2,0.0,0,0,1.23,39873.47,39873.47,39873.47,0,1,500,585,500,585,500,585,0.02,-11.53,-11.53,-11.53,pumpfun,212UeSqek5yXsMqGNQ1CUWu7PP397a3ukzw7QxrN3zsT,1774953469000,0.7,1,1,0,0,2,0,0,999943588256708,6,0.855,0.855,0.0,0,1085,2026-03-31T11:22:30.211248+00:00,1,zero_liquidity|pump_fun_dead
7nZ5mjmNYrHcLz7LgRdPi14Sm23ERDyTpur4E3z1pump,XTEND,XTEND,0.000007449,0.00000008959,7449.32,7449.32,0.0,0,0,0,0,199.29,216.58,0,0,0,0,0,2,0,3,0,0,-9.68,-9.68,pumpfun,EiRiN9ywYvWURgeLaPDHNnTtEkYHoqfkpcseK6euLM5u,1773068907000,524.2,0,0,0,0,0,0,0,1000000000000000,6,0.0,0.0,0.0,0,3,2026-03-31T11:22:30.211248+00:00,1,zero_liquidity|pump_fun_dead
AZEqLUaeDb3u6FnGVcLakprwgmk6bD3GPGzNXBZ1pump,Root5 DAO,ROOT5,0.000004787,0.00000005706,4787.43,4787.43,0.0,0,0,0,0,0,3.65,0,0,0,0,0,0,0,2,0,0,0,-0.93,pumpfun,BAsuCpi8M39Rs5cHbuoSTa78bPtcrJZy2ad6NJ2VWW6z,1762727254000,3396.9,1,1,1,0,3,0,0,995066387121924,6,0.0,0.0,0.0,0,2,2026-03-31T11:22:30.211248+00:00,1,zero_liquidity|pump_fun_dead
79fmkspuv6ryKyjGJ947FiwL5Ao4UxsSocx7iMT1pump,ITS OVER WERE BACK,CYCLE,0.000004629,0.00000005622,4629.2,4629.2,0.0,0,0,0,0,0,22.18,0,0,0,0,0,0,2,1,0,0,0,-1.25,pumpfun,HjJXP9qbqe4ND5fekLAnxZ9Db3Zz8taN4iqt3gQywHED,1770154159000,1333.9,0,0,0,0,0,0,0,1000000000000000,6,0.0,2.0,0.0,0,3,2026-03-31T11:22:30.211248+00:00,1,zero_liquidity|pump_fun_dead
5xQibgLSix2ptJ4mvvcPPYmnBxEhbtR4DB2YxVs1pump,pinchin,pinchin,0.000004300,0.00000005326,4300.7,4300.7,0.0,0,0,0,0,65.1,70.22,0,0,1,1,1,2,2,3,0,-3,-7.26,-5.66,pumpfun,CCmaxhomsTvTFMxafm8wrqbmChbsnpr5c49xRL5TvgXs,1771987505000,824.6,1,1,1,0,3,0,0,975953150062756,6,1.0,0.667,0.0,0,5,2026-03-31T11:22:30.211248+00:00,1,zero_liquidity|pump_fun_dead
6E6peSeNoZJudDnTdZY1HiCnFmmkdqCEj31KfQB1pump,Memerot Monday,ROT,0.000004098,0.00000004968,4098.11,4098.11,0.0,0,0,0,0,0,907.92,0,0,0,0,0,0,14,9,0,0,0,66.41,pumpfun,46mJzXSKQ2L8uPiVW3HtjfVkBJsY9jWP8HB792EXtdRM,1774897663000,16.2,0,0,0,0,0,0,0,1000000000000000,6,0.0,1.556,0.0,0,23,2026-03-31T11:22:30.211248+00:00,1,zero_liquidity|pump_fun_dead
EiQjVNJRrqmL3qfptRfetoowziQ4mJSr8cR16Bq1pump,GOOGLE NEW AI,KAIROS,0.000002425,0.00000003006,2425.34,2425.34,0.0,0,0,413.45,413.45,413.45,413.45,5,3,5,3,5,3,5,3,4.11,4.11,4.11,4.11,pumpfun,DCpzsqkEXX4fW5N7D2x1B8kVctr4pMT2RuU5VYSmCqf1,0,0,0,0,0,0,0,0,0,999999999454546,6,1.667,1.667,0.0,0,8,2026-03-31T11:22:30.211248+00:00,1,zero_liquidity|pump_fun_dead
3RifWAmuySBCdL3ZehtpBvcUXTF9ZzLeuyNvpsf1pump,Central Bank Digital Currency,CBDC,0.000003053,0.00000003655,3053.12,3053.12,0.0,0,0,0,0,0,3405.71,0,0,0,0,0,0,7,3,0,0,0,25.71,pumpfun,BeM5cVEYQ1dGZAse8okSXh16QZi6jno7UWr5yC9DXDc2,1774560698000,109.8,0,0,0,0,0,0,0,1000000000000000,6,0.0,2.333,0.0,0,10,2026-03-31T11:22:30.211248+00:00,1,zero_liquidity|pump_fun_dead
7ZaC375c9Nc57k2Tir9yiHumtinB9MetWDFHPfE2pump,CodeX,CODEX,0.000006395,0.00000007934,6395.74,6395.74,0.0,0,0,14.06,93.82,381.53,5686.48,0,1,1,1,13,3,69,75,-0.86,3.64,14.92,-29.91,pumpfun,ANf3DaknuyUt8AUePaAsTboNRpVWV8Hqaf2eNkj2b7iY,1774771974000,51.2,1,1,1,0,3,0,0,998309968329289,6,1.0,0.92,0.0,0,144,2026-03-31T11:22:30.211248+00:00,1,zero_liquidity|pump_fun_dead
